x,y,best_fit,Sextet_1
9.218750e-01,9.966160e-01,9.943030e-01,5.697048e-03
9.375000e-01,9.974300e-01,9.954934e-01,4.506581e-03
9.531250e-01,9.981770e-01,9.963443e-01,3.655667e-03
9.687500e-01,9.987500e-01,9.969718e-01,3.028165e-03
9.843750e-01,9.989580e-01,9.974472e-01,2.552842e-03
1.000000e+00,9.991650e-01,9.978156e-01,2.184394e-03
1.015625e+00,9.992520e-01,9.981070e-01,1.893047e-03
1.031250e+00,9.992100e-01,9.983414e-01,1.658642e-03
1.046875e+00,9.994600e-01,9.985328e-01,1.467173e-03
1.062500e+00,9.996450e-01,9.986913e-01,1.308675e-03
1.078125e+00,9.996880e-01,9.988241e-01,1.175911e-03
1.093750e+00,9.991660e-01,9.989365e-01,1.063527e-03
1.109375e+00,9.994330e-01,9.990325e-01,9.674913e-04
1.125000e+00,9.994940e-01,9.991153e-01,8.847275e-04
1.140625e+00,9.999620e-01,9.991871e-01,8.128519e-04
1.156250e+00,9.993490e-01,9.992500e-01,7.499955e-04
1.171875e+00,1.000607e+00,9.993053e-01,6.946764e-04
1.187500e+00,9.999890e-01,9.993543e-01,6.457070e-04
1.203125e+00,9.997360e-01,9.993979e-01,6.021268e-04
1.218750e+00,9.998090e-01,9.994368e-01,5.631517e-04
1.234375e+00,9.994750e-01,9.994719e-01,5.281368e-04
1.250000e+00,9.998210e-01,9.995035e-01,4.965473e-04
1.265625e+00,9.997510e-01,9.995321e-01,4.679369e-04
1.281250e+00,9.999190e-01,9.995581e-01,4.419305e-04
1.296875e+00,9.998190e-01,9.995818e-01,4.182112e-04
1.312500e+00,9.997890e-01,9.996035e-01,3.965093e-04
1.328125e+00,9.999620e-01,9.996234e-01,3.765943e-04
1.343750e+00,1.000146e+00,9.996417e-01,3.582685e-04
1.359375e+00,9.998760e-01,9.996586e-01,3.413610e-04
1.375000e+00,9.997810e-01,9.996743e-01,3.257236e-04
1.390625e+00,9.999480e-01,9.996888e-01,3.112275e-04
1.406250e+00,9.998720e-01,9.997022e-01,2.977600e-04
1.421875e+00,1.000045e+00,9.997148e-01,2.852221e-04
1.437500e+00,9.995140e-01,9.997265e-01,2.735269e-04
1.453125e+00,9.997110e-01,9.997374e-01,2.625975e-04
1.468750e+00,9.997280e-01,9.997476e-01,2.523657e-04
1.484375e+00,1.000206e+00,9.997572e-01,2.427710e-04
1.500000e+00,9.999410e-01,9.997662e-01,2.337593e-04
1.515625e+00,9.997420e-01,9.997747e-01,2.252824e-04
1.531250e+00,9.998180e-01,9.997827e-01,2.172970e-04
1.546875e+00,9.998350e-01,9.997902e-01,2.097642e-04
1.562500e+00,9.999400e-01,9.997974e-01,2.026489e-04
1.578125e+00,9.996670e-01,9.998041e-01,1.959196e-04
1.593750e+00,1.000119e+00,9.998105e-01,1.895475e-04
1.609375e+00,1.000167e+00,9.998165e-01,1.835069e-04
1.625000e+00,1.000251e+00,9.998222e-01,1.777739e-04
1.640625e+00,9.997800e-01,9.998277e-01,1.723273e-04
1.656250e+00,1.000062e+00,9.998329e-01,1.671473e-04
1.671875e+00,1.000427e+00,9.998378e-01,1.622161e-04
1.687500e+00,1.000137e+00,9.998425e-01,1.575173e-04
1.703125e+00,1.000348e+00,9.998470e-01,1.530359e-04
1.718750e+00,9.998590e-01,9.998512e-01,1.487581e-04
1.734375e+00,1.000206e+00,9.998553e-01,1.446711e-04
1.750000e+00,1.000207e+00,9.998592e-01,1.407633e-04
1.765625e+00,9.999500e-01,9.998630e-01,1.370239e-04
1.781250e+00,1.000031e+00,9.998666e-01,1.334430e-04
1.796875e+00,1.000341e+00,9.998700e-01,1.300112e-04
1.812500e+00,1.000029e+00,9.998733e-01,1.267201e-04
1.828125e+00,1.000298e+00,9.998764e-01,1.235616e-04
1.843750e+00,9.998760e-01,9.998795e-01,1.205286e-04
1.859375e+00,9.999320e-01,9.998824e-01,1.176141e-04
1.875000e+00,1.000232e+00,9.998852e-01,1.148117e-04
1.890625e+00,9.997510e-01,9.998879e-01,1.121155e-04
1.906250e+00,9.996700e-01,9.998905e-01,1.095200e-04
1.921875e+00,1.000389e+00,9.998930e-01,1.070200e-04
1.937500e+00,1.000569e+00,9.998954e-01,1.046107e-04
